feature,importance
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Anh', 'Tiếng Pháp', 'Tiếng Ý', 'Tiếng Nhật']",0.0
"Spoken Languages_['Tiếng Đức', 'Tiếng Anh', 'Tiếng Croatia']",0.0
"Spoken Languages_['Tiếng Ả Rập', 'Hong Kong', 'Tiếng Anh', 'Tiếng Pháp', 'Tiếng Đức', 'Tiếng Nhật', 'Latin', 'Tiếng Nga', 'Tiếng Tây Ban Nha']",0.0
Spoken Languages_['Tiếng Đức'],0.0
"Spoken Languages_['Tiếng Đức', 'Tiếng Anh']",0.0
"Spoken Languages_['Tiếng Đức', 'Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Pháp', 'Tiếng Nga']",0.0
"Spoken Languages_['Tiếng Đức', 'Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Pháp', 'Tiếng Kiswahili']",0.0
"Spoken Languages_['Tiếng Đức', 'Tiếng Anh', 'Tiếng Thụy Điển']",0.0
"Production Countries_['Australia', 'India', 'Singapore', 'United States of America']",0.0
"Spoken Languages_['Tiếng Đức', 'Tiếng Anh', 'Tiếng Pháp', 'Tiếng Ý']",0.0
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Anh', 'Tiếng Hindi', 'Latin', 'Tiếng Tây Ban Nha']",0.0
"Production Countries_['Belgium', 'Denmark', 'France', 'United States of America']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức', 'Tiếng Ý', 'Tiếng Pháp']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức', 'Tiếng Phần Lan', 'Tiếng Nhật', 'Hong Kong']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức', 'Tiếng Hàn']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức', 'Tiếng Bồ Đào Nha', 'Tiếng Tây Ban Nha']",0.0
Spoken Languages_['Tiếng Trung'],0.0
"Production Countries_['Belgium', 'France']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Ý', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Việt']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Urdu']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Ukraina']",0.0
"Production Countries_['Belgium', 'Germany', 'France', 'Romania', 'United Kingdom']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Pháp', 'Tiếng Nhật']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Bồ Đào Nha']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức', 'Tiếng Ba Lan', 'Tiếng Nga']",0.0
"Spoken Languages_['Tiếng Trung', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Tiếng Trung', 'Tiếng Nhật', 'Tiếng Anh']",0.0
"Spoken Languages_['Tiếng Trung', 'Tiếng Hàn']",0.0
"Production Countries_['Belgium', 'Canada', 'Germany', 'United Kingdom']",0.0
"Spoken Languages_['Tiếng Hàn', 'Tiếng Lào', 'Tiếng Tây Ban Nha', 'Tiếng Anh']",0.0
"Spoken Languages_['Tiếng Hà Lan', 'Tiếng Đan Mạch', 'Tiếng Đức', 'Tiếng Pháp', 'Tiếng Anh']",0.0
"Spoken Languages_['Tiếng Hà Lan', 'Tiếng Anh']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Ả Rập', 'Tiếng Ý', 'Tiếng Nhật']",0.0
Spoken Languages_['Tiếng Hindi'],0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Bồ Đào Nha', 'Tiếng Nga']",0.0
"Spoken Languages_['Tiếng Hindi', 'Tiếng Anh']",0.0
"Spoken Languages_['Tiếng Croatia', 'Tiếng Trung', 'Tiếng Pháp', 'Tiếng Anh']",0.0
"Production Countries_['Belgium', 'China', 'France', 'Germany', 'United States of America']",0.0
"Spoken Languages_['Tiếng Châu Phi', 'Tiếng Anh', 'Tiếng Đức', 'Tiếng Nga']",0.0
"Spoken Languages_['Tiếng Bungari', 'Tiếng Anh']",0.0
"Production Countries_['Belgium', 'China', 'Spain', 'Switzerland', 'United Kingdom', 'United States of America']",0.0
"Spoken Languages_['Tiếng Hy Lạp', 'Tiếng Anh']",0.0
Production Countries_['China'],0.0
"Production Countries_['China', 'United States of America', 'United Kingdom']",0.0
"Production Countries_['China', 'Russia']",0.0
"Production Countries_['China', 'Japan', 'United States of America']",0.0
"Production Countries_['China', 'Japan', 'Canada', 'United States of America']",0.0
"Production Countries_['China', 'Hungary', 'Spain', 'United States of America']",0.0
"Production Countries_['China', 'Hong Kong']",0.0
"Production Countries_['China', 'Hong Kong', 'United States of America']",0.0
"Production Countries_['Canada', 'Germany', 'United Kingdom', 'United States of America']",0.0
"Production Countries_['China', 'France', 'India', 'United States of America']",0.0
"Production Countries_['China', 'France', 'Hong Kong', 'Taiwan']",0.0
"Production Countries_['China', 'Colombia', 'Hungary', 'United States of America']",0.0
"Production Countries_['Canada', 'United Kingdom', 'United States of America']",0.0
"Production Countries_['Canada', 'Spain', 'United States of America']",0.0
"Production Countries_['Canada', 'South Korea', 'United States of America']",0.0
"Production Countries_['Canada', 'Serbia', 'United States of America']",0.0
"Production Countries_['Canada', 'Kazakhstan', 'Hong Kong', 'Thailand', 'United States of America']",0.0
"Production Countries_['Canada', 'Japan', 'United States of America']",0.0
"Production Countries_['China', 'Hong Kong', 'Iceland', 'India', 'South Korea', 'United Arab Emirates']",0.0
"Production Countries_['Germany', 'South Africa']",0.0
"Production Countries_['Germany', 'India', 'United Kingdom', 'United States of America']",0.0
"Production Countries_['Germany', 'Canada', 'United States of America']",0.0
"Production Countries_['Germany', 'Belgium', 'France', 'United States of America']",0.0
"Production Countries_['France', 'United States of America']",0.0
"Production Countries_['France', 'United States of America', 'Thailand']",0.0
"Production Countries_['France', 'United Kingdom', 'United States of America', 'Ireland']",0.0
"Production Countries_['France', 'Singapore', 'Vietnam']",0.0
"Production Countries_['Czech Republic', 'Germany', 'United Kingdom', 'United States of America']",0.0
"Production Countries_['France', 'Indonesia', 'United States of America']",0.0
"Production Countries_['France', 'Guadaloupe', 'Russia', 'Serbia', 'United States of America']",0.0
"Production Countries_['France', 'Germany', 'Poland', 'United Kingdom']",0.0
"Production Countries_['Finland', 'United States of America']",0.0
"Production Countries_['Finland', 'United Kingdom', 'United States of America']",0.0
"Production Countries_['Dominican Republic', 'United Kingdom', 'United States of America']",0.0
"Production Countries_['Czech Republic', 'United States of America']",0.0
"Production Countries_['Czech Republic', 'South Korea']",0.0
"Production Countries_['Czech Republic', 'Romania', 'United Kingdom', 'United States of America']",0.0
"Production Countries_['France', 'Netherlands', 'United Kingdom', 'United States of America']",0.0
"Spoken Languages_['Tiếng Nhật', 'Tiếng Anh']",0.0
"Spoken Languages_['Tiếng Nhật', 'Tiếng Anh', 'Tiếng Trung']",0.0
Spoken Languages_['Tiếng Nga'],0.0
"Spoken Languages_['Tiếng Nga', 'Tiếng Hà Lan', 'Tiếng Ý', 'Tiếng Anh']",0.0
"Spoken Languages_['Tiếng Nga', 'Tiếng Anh']",0.0
"Spoken Languages_['Tiếng Nga', 'Tiếng Anh', 'Tiếng Đức']",0.0
Spoken Languages_['Tiếng Indonesia'],0.0
"Production Countries_['Austria', 'Canada', 'China', 'Germany', 'Italy', 'United States of America']",0.0
"Production Countries_['Canada', 'Japan', 'New Zealand', 'United States of America']",0.0
"Spoken Languages_['Tiếng Tây Ban Nha', 'Tiếng Anh', 'Tiếng Đức']",0.0
"Production Countries_['Canada', 'Hong Kong', 'United States of America']",0.0
"Spoken Languages_['Tiếng Nhật', 'Tiếng Anh', 'Tiếng Nga', 'Tiếng Tây Ban Nha']",0.0
"Production Countries_['Australia', 'Germany', 'United States of America']",0.0
"Production Countries_['Australia', 'France', 'Hong Kong', 'Thailand']",0.0
"Production Countries_['Australia', 'Denmark', 'United States of America']",0.0
"Production Countries_['Australia', 'China', 'United States of America']",0.0
"Production Countries_['Australia', 'Canada', 'United Kingdom', 'United States of America']",0.0
"Production Countries_['Argentina', 'Spain']",0.0
"Spoken Languages_['Tiếng Trung', 'Tiếng Hàn', 'Tiếng Nhật']",0.0
"Production Countries_['Canada', 'Ireland', 'United States of America']",0.0
"Production Countries_['Canada', 'India', 'United Kingdom', 'United States of America']",0.0
"Production Countries_['Canada', 'India', 'Taiwan', 'United Kingdom', 'United States of America']",0.0
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh']",0.0
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh', 'Tiếng Ý', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh', 'Tiếng Pháp']",0.0
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh', 'Tiếng Pháp', 'Tiếng Tây Ban Nha', 'Tiếng Nga']",0.0
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh', 'Tiếng Nhật']",0.0
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh', 'Tiếng Nga']",0.0
Spoken Languages_['Tiếng Nhật'],0.0
"Spoken Languages_['Tiếng Thụy Điển', 'Tiếng Anh']",0.0
"Spoken Languages_['Tiếng Thụy Điển', 'Tiếng Anh', 'Tiếng Ý']",0.0
