feature,importance
"Spoken Languages_['Tiếng Anh', 'Tiếng Ả Rập', 'Tiếng Hy Lạp', 'Tiếng Hindi', '', 'Tiếng Punjab', 'Tiếng Ba Tư', 'Tiếng Nga', 'Tiếng Urdu']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức', 'Tiếng Ý', 'Tiếng Pháp']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức', 'Tiếng Tây Ban Nha']",0
"Spoken Languages_['Hong Kong', 'Tiếng Hà Lan', 'Tiếng Anh', 'Tiếng Nhật', 'Tiếng Nga', 'Tiếng Tây Ban Nha']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức', 'Tiếng Hàn']",0
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức', 'Tiếng Bồ Đào Nha', 'Tiếng Tây Ban Nha']",0
"Spoken Languages_['Tiếng Châu Phi', 'Tiếng Anh', 'Tiếng Đức', 'Tiếng Nga']",0
"Spoken Languages_['Tiếng Đức', 'Tiếng Anh']",0
"Spoken Languages_['Tiếng Đức', 'Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Pháp', 'Tiếng Nga']",0
"Spoken Languages_['Tiếng Đức', 'Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Pháp', 'Tiếng Kiswahili']",0
"Spoken Languages_['Tiếng Đức', 'Tiếng Anh', 'Tiếng Thụy Điển']",0
"Spoken Languages_['Tiếng Đức', 'Tiếng Anh', 'Tiếng Pháp', 'Tiếng Ý']",0
"Spoken Languages_['Tiếng Đức', 'Tiếng Anh', 'Tiếng Croatia']",0
"Spoken Languages_['Tiếng Đức', 'Hong Kong', 'Tiếng Anh', 'Tiếng Trung', 'Tiếng Nga']",0
"Spoken Languages_['Tiếng Ý', 'Tiếng Anh', 'Tiếng Nga', 'Tiếng Đức']",0
Spoken Languages_['Tiếng Việt'],0
"Spoken Languages_['Tiếng Trung', 'Tiếng Hàn']",0
"Spoken Languages_['Tiếng Việt', 'Tiếng Anh']",0
Spoken Languages_['Tiếng Tây Ban Nha'],0
"Spoken Languages_['Tiếng Tây Ban Nha', 'Tiếng Pháp', 'Tiếng Anh']",0
"Spoken Languages_['Tiếng Tây Ban Nha', 'Tiếng Anh']",0
"Spoken Languages_['Tiếng Tây Ban Nha', 'Tiếng Anh', 'Tiếng Ukraina']",0
"Spoken Languages_['Tiếng Tây Ban Nha', 'Tiếng Anh', 'Tiếng Pháp']",0
"Spoken Languages_['Tiếng Tây Ban Nha', 'Tiếng Anh', 'Tiếng Bồ Đào Nha']",0
Spoken Languages_['Tiếng Trung'],0
"Spoken Languages_['Tiếng Trung', 'Tiếng Tây Ban Nha']",0
"Spoken Languages_['Tiếng Trung', 'Tiếng Nhật', 'Tiếng Anh']",0
"Spoken Languages_['Tiếng Việt', 'Tiếng Hàn']",0
"Production Countries_['China', 'France', 'India', 'United States of America']",0
"Production Countries_['China', 'France', 'Hong Kong', 'Taiwan']",0
"Production Countries_['China', 'Colombia', 'Hungary', 'United States of America']",0
"Production Countries_['Canada', 'United States of America']",0
"Production Countries_['Canada', 'United States of America', 'Australia']",0
"Production Countries_['Canada', 'United Kingdom', 'United States of America']",0
"Production Countries_['Canada', 'Spain', 'United States of America']",0
"Production Countries_['Canada', 'South Korea', 'United States of America']",0
"Production Countries_['Canada', 'Serbia', 'United States of America']",0
"Spoken Languages_['Hong Kong', 'Tiếng Anh', 'Tiếng Nga', 'Tiếng Tây Ban Nha']",0
"Production Countries_['Canada', 'Japan', 'United States of America']",0
"Production Countries_['Canada', 'Japan', 'New Zealand', 'United States of America']",0
"Production Countries_['Canada', 'Ireland', 'United States of America']",0
"Production Countries_['Canada', 'India', 'United Kingdom', 'United States of America']",0
"Production Countries_['Canada', 'India', 'Taiwan', 'United Kingdom', 'United States of America']",0
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh']",0
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh', 'Tiếng Ý', 'Tiếng Tây Ban Nha']",0
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh', 'Tiếng Pháp']",0
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh', 'Tiếng Pháp', 'Tiếng Tây Ban Nha', 'Tiếng Nga']",0
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh', 'Tiếng Pháp', 'Tiếng Tây Ban Nha', 'Tiếng Hàn']",0
"Production Countries_['Canada', 'Kazakhstan', 'Hong Kong', 'Thailand', 'United States of America']",0
"Production Countries_['France', 'Guadaloupe', 'Russia', 'Serbia', 'United States of America']",0
"Production Countries_['France', 'Germany', 'Poland', 'United Kingdom']",0
"Production Countries_['Finland', 'United States of America']",0
"Production Countries_['Finland', 'United Kingdom', 'United States of America']",0
"Production Countries_['Dominican Republic', 'United Kingdom', 'United States of America']",0
"Production Countries_['Czech Republic', 'United States of America']",0
"Production Countries_['Czech Republic', 'South Korea']",0
"Production Countries_['Czech Republic', 'Romania', 'United Kingdom', 'United States of America']",0
"Production Countries_['Czech Republic', 'Germany', 'United Kingdom', 'United States of America']",0
"Production Countries_['China', 'Germany', 'Japan', 'United Kingdom']",0
"Production Countries_['China', 'United States of America']",0
"Production Countries_['China', 'United States of America', 'United Kingdom']",0
"Production Countries_['China', 'United Kingdom', 'United States of America']",0
"Production Countries_['China', 'Russia']",0
"Production Countries_['China', 'Japan', 'United States of America']",0
"Production Countries_['China', 'Japan', 'Canada', 'United States of America']",0
"Production Countries_['China', 'Hungary', 'Spain', 'United States of America']",0
"Production Countries_['China', 'Hong Kong']",0
"Production Countries_['China', 'Hong Kong', 'United States of America']",0
"Production Countries_['China', 'Hong Kong', 'Iceland', 'India', 'South Korea', 'United Arab Emirates']",0
Production Countries_['China'],0
"Spoken Languages_['Tiếng Nga', 'Tiếng Anh', 'Tiếng Đức']",0
Spoken Languages_['Tiếng Na Uy'],0
Spoken Languages_['Tiếng Mã Lai'],0
Spoken Languages_['Tiếng Indonesia'],0
Spoken Languages_[],0
"Production Countries_['Austria', 'Canada', 'China', 'Germany', 'Italy', 'United States of America']",0
"Spoken Languages_['Tiếng Trung', 'Tiếng Hàn', 'Tiếng Nhật']",0
"Spoken Languages_['Tiếng Tây Ban Nha', 'Tiếng Anh', 'Tiếng Đức']",0
"Production Countries_['Canada', 'Hong Kong', 'United States of America']",0
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh', 'Tiếng Nhật']",0
"Production Countries_['Australia', 'Germany', 'United States of America']",0
"Production Countries_['Australia', 'France', 'Hong Kong', 'Thailand']",0
"Production Countries_['Australia', 'Denmark', 'United States of America']",0
"Production Countries_['Australia', 'China', 'United States of America']",0
"Production Countries_['Australia', 'Canada', 'United Kingdom', 'United States of America']",0
"Production Countries_['Argentina', 'Spain']",0
"Production Countries_['Argentina', 'Chile', 'Mexico', 'Peru']",0
budget_per_minute,0
budget_vote_interaction,0
vote_count_log,0
"Spoken Languages_['Tiếng Nhật', 'Tiếng Anh', 'Tiếng Nga', 'Tiếng Tây Ban Nha']",0
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh', 'Tiếng Nga']",0
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh', 'Tiếng Mã Lai']",0
"Spoken Languages_['Tiếng Thụy Điển', 'Tiếng Anh']",0
"Spoken Languages_['Tiếng Thụy Điển', 'Tiếng Anh', 'Tiếng Ý']",0
"Spoken Languages_['Tiếng Séc', 'Tiếng Hà Lan', 'Tiếng Anh', 'Tiếng Đức', 'Tiếng Ý']",0
"Spoken Languages_['Tiếng Romania', 'Tiếng Anh', 'Tiếng Đức', 'Tiếng Nga']",0
Spoken Languages_['Tiếng Pháp'],0
"Spoken Languages_['Tiếng Pháp', 'Tiếng Việt']",0
"Spoken Languages_['Tiếng Pháp', 'Tiếng Na Uy', 'Tiếng Anh']",0
"Spoken Languages_['Tiếng Nga', 'Tiếng Anh']",0
"Spoken Languages_['Tiếng Pháp', 'Tiếng Anh', 'Tiếng Ý', 'Tiếng Nga']",0
"Spoken Languages_['Tiếng Pháp', 'Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Ý', 'Tiếng Đức']",0
"Spoken Languages_['Tiếng Pháp', 'Tiếng Anh', 'Latin']",0
Spoken Languages_['Tiếng Nhật'],0
"Spoken Languages_['Tiếng Nhật', 'Tiếng Pháp', 'Tiếng Nga', 'Tiếng Anh', 'Tiếng Ả Rập']",0
"Spoken Languages_['Tiếng Nhật', 'Tiếng Anh']",0
"Spoken Languages_['Tiếng Nhật', 'Tiếng Anh', 'Tiếng Trung']",0
release_weekday,0
Spoken Languages_['Tiếng Nga'],0
"Spoken Languages_['Tiếng Nga', 'Tiếng Hà Lan', 'Tiếng Ý', 'Tiếng Anh']",0
"Spoken Languages_['Tiếng Pháp', 'Tiếng Anh']",0
"Production Countries_['United Kingdom', 'United States of America']",0
"Production Countries_['United Kingdom', 'United States of America', 'Germany']",0
"Production Countries_['United Kingdom', 'Poland']",0
"Production Countries_['United Kingdom', 'Germany', 'United States of America']",0
Production Countries_['United Arab Emirates'],0
"Production Countries_['United Arab Emirates', 'United States of America']",0
"Production Countries_['Switzerland', 'United Kingdom', 'United States of America']",0
"Production Countries_['Sweden', 'United Kingdom', 'France', 'Belgium']",0
Production Countries_['Spain'],0
"Production Countries_['France', 'Indonesia', 'United States of America']",0
"Production Countries_['Spain', 'United Kingdom', 'United States of America']",0
"Production Countries_['Spain', 'Thailand', 'United States of America']",0
Production Countries_['South Korea'],0
"Production Countries_['South Korea', 'Vietnam']",0
"Production Countries_['South Korea', 'United States of America']",0
"Production Countries_['South Korea', 'Spain', 'United Kingdom', 'United States of America']",0
Production Countries_['Russia'],0
"Production Countries_['Puerto Rico', 'United States of America']",0
"Production Countries_['Puerto Rico', 'United Kingdom', 'United States of America']",0
Production Countries_['Norway'],0
"Production Countries_['Spain', 'United States of America']",0
"Spoken Languages_['Hong Kong', 'Tiếng Anh', 'Tiếng Tây Ban Nha']",0
"Spoken Languages_['Hong Kong', 'Tiếng Anh', 'Tiếng Nhật', 'Tiếng Nga']",0
release_season,0
"Spoken Languages_['Hong Kong', 'Tiếng Anh', 'Tiếng Mã Lai', 'Tiếng Lào']",0
Production Countries_['Vietnam'],0
"Production Countries_['Vietnam', 'United States of America']",0
"Production Countries_['Vietnam', 'South Korea']",0
Production Countries_['United States of America'],0
"Production Countries_['United States of America', 'United Kingdom']",0
Production Countries_['United Kingdom'],0
"Production Countries_['United States of America', 'Russia']",0
